Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
AAPL,AAPL,Buy,2010-08-02 16:00:00,0.964674622623,0.964674622623,8.0,260.73,2085.84,27.0,9491.76,5.0,2.02,
GOOG,GOOG,Sell,2010-08-02 16:00:00,0.964674622623,0.964674622623,-4.0,490.41,-1961.64,5.0,9491.76,5.0,2.02,
AAPL,AAPL,Sell,2010-09-01 16:00:00,0.931742151244,0.931742151244,-16.0,249.26,-3988.16,11.0,8726.15,5.0,3.84,
GOOG,GOOG,Buy,2010-09-01 16:00:00,0.931742151244,0.931742151244,8.0,460.33,3682.64,13.0,8726.15,5.0,3.84,
AAPL,AAPL,Buy,2010-10-01 16:00:00,0.954608565332,0.954608565332,8.0,281.31,2250.48,19.0,10075.47,5.0,2.18,
GOOG,GOOG,Sell,2010-10-01 16:00:00,0.954608565332,0.954608565332,-4.0,525.62,-2102.48,9.0,10075.47,5.0,2.18,
AAPL,AAPL,Buy,2010-11-01 16:00:00,0.932863175065,0.932863175065,3.0,302.88,908.64,22.0,10968.36,5.0,1.07,
GOOG,GOOG,Sell,2010-11-01 16:00:00,0.932863175065,0.932863175065,-2.0,615.0,-1230.0,7.0,10968.36,5.0,1.07,
AAPL,AAPL,Sell,2010-12-01 16:00:00,0.986236241427,0.986236241427,-7.0,315.05,-2205.35,15.0,11497.95,5.0,2.51,
GOOG,GOOG,Buy,2010-12-01 16:00:00,0.986236241427,0.986236241427,5.0,564.35,2821.75,12.0,11497.95,5.0,2.51,
_CASH,_CASH,Cash Deposit,2010-11-30 16:00:00,,,,,0,,
